batch_size,epoch,train_acc,test_ll,test_acc
10,16,0.91775,-0.28754609751494054,0.9194
===Testing batch size: 16, Ephocs: 10 ===
50,16,0.9286833333333333,-0.2679848390767171,0.9245
===Testing batch size: 16, Ephocs: 50 ===
100,16,0.9321666666666667,-0.2655284840862128,0.9261
===Testing batch size: 16, Ephocs: 100 ===
10,64,0.9029833333333334,-0.33469193533198566,0.9091
===Testing batch size: 64, Ephocs: 10 ===
50,64,0.9207666666666666,-0.28229555617263286,0.9214
===Testing batch size: 64, Ephocs: 50 ===
100,64,0.9256,-0.2725809906439542,0.9234
===Testing batch size: 64, Ephocs: 100 ===
10,256,0.8803833333333333,-0.4470504010112889,0.888
===Testing batch size: 256, Ephocs: 10 ===
50,256,0.9063,-0.32390960983319794,0.9115
===Testing batch size: 256, Ephocs: 50 ===
100,256,0.9144333333333333,-0.2983946949442142,0.9181
===Testing batch size: 256, Ephocs: 100 ===
10,1024,0.8457833333333333,-0.727692068382595,0.855
===Testing batch size: 1024, Ephocs: 10 ===
50,1024,0.88455,-0.42246433695113356,0.8917
===Testing batch size: 1024, Ephocs: 50 ===
100,1024,0.8968666666666667,-0.36301286835566,0.9031
===Testing batch size: 1024, Ephocs: 100 ===
1,60,0.8594833333333334,-0.5853170555414959,0.8698
2,60,0.8765,-0.4669215794218313,0.8838
3,60,0.8848666666666667,-0.4190746990029209,0.8919
4,60,0.8900833333333333,-0.39191531870710894,0.8969
5,60,0.8938,-0.37395562919129166,0.9011
6,60,0.8969666666666667,-0.3609941022766661,0.9035
7,60,0.8994333333333333,-0.351094029516803,0.9061
8,60,0.90135,-0.3432259698862639,0.9075
9,60,0.9026666666666666,-0.3367867095127408,0.9087
10,60,0.9037666666666667,-0.33139671101925106,0.9098
11,60,0.9054833333333333,-0.3268038273207329,0.9106
12,60,0.9062,-0.32283319174057096,0.9115
13,60,0.9072333333333333,-0.3193592362559742,0.9124
14,60,0.9081833333333333,-0.31628915854770717,0.914
15,60,0.90915,-0.31355269026608673,0.9142
16,60,0.9098166666666667,-0.3110955147777198,0.915
17,60,0.9105833333333333,-0.30887489102726584,0.9154
18,60,0.9113166666666667,-0.30685666053912936,0.9161
19,60,0.91215,-0.3050131493154292,0.9166
20,60,0.9127833333333333,-0.30332166485041767,0.9171
21,60,0.9134833333333333,-0.30176339858775636,0.9174
22,60,0.91405,-0.3003226105919141,0.9175
23,60,0.9145666666666666,-0.2989860144660724,0.9184
24,60,0.9150333333333334,-0.2977423068328072,0.9188
25,60,0.9153,-0.29658180282395163,0.9188
26,60,0.91565,-0.2954961504228295,0.9191
27,60,0.9159166666666667,-0.2944781042274466,0.919
28,60,0.9162666666666667,-0.2935213445299291,0.9193
29,60,0.9165,-0.29262033133802545,0.9194
30,60,0.9168833333333334,-0.29177018561488954,0.9195
31,60,0.91735,-0.2909665919214816,0.9196
32,60,0.91755,-0.2902057180365858,0.9198
