===Testing batch size: 16, Ephocs: 100 ===
epoch, batch_size,train_acc,test_ll,test_acc
1,16,0.8863333333333333,-0.39878704076024235,0.8948
2,16,0.8981166666666667,-0.34800621257936715,0.9062
3,16,0.90395,-0.32672907754051583,0.9099
4,16,0.9079833333333334,-0.3144798549933689,0.9134
5,16,0.9107166666666666,-0.30636459717537945,0.9154
6,16,0.9131833333333333,-0.3005379266852056,0.9165
7,16,0.9146833333333333,-0.29612813154801015,0.9176
8,16,0.9157833333333333,-0.29266292444597264,0.9184
9,16,0.9170833333333334,-0.28986165870026315,0.9194
10,16,0.91775,-0.28754609751494054,0.9194
11,16,0.9185333333333333,-0.2855972059803541,0.9199
12,16,0.9190666666666667,-0.2839322834436873,0.9206
13,16,0.91975,-0.2824920045589497,0.921
14,16,0.92015,-0.28123266684216314,0.9217
15,16,0.92055,-0.28012134447241144,0.9222
16,16,0.921,-0.27913274639658747,0.9225
17,16,0.9215333333333333,-0.2782471157405852,0.9218
18,16,0.9218666666666666,-0.2774487878904967,0.922
19,16,0.9224166666666667,-0.2767251777813788,0.922
20,16,0.9229333333333334,-0.2760660541820507,0.9223
21,16,0.92315,-0.27546301028137715,0.9224
22,16,0.9236666666666666,-0.2749090712650103,0.9222
23,16,0.9238333333333333,-0.2743983992222814,0.9226
24,16,0.9241333333333334,-0.2739260683304116,0.9226
25,16,0.9243,-0.273487891529844,0.9229
26,16,0.92455,-0.27308028543205703,0.9229
27,16,0.9247333333333333,-0.2727001639634149,0.9229
28,16,0.9250166666666667,-0.2723448538509335,0.9229
29,16,0.92525,-0.2720120268826644,0.9229
30,16,0.9253666666666667,-0.2716996451753494,0.9228
31,16,0.9255,-0.2714059166186706,0.9231
32,16,0.9257833333333333,-0.27112925834819723,0.9231
33,16,0.9259833333333334,-0.27086826660221225,0.9234
34,16,0.9261666666666667,-0.2706216916920001,0.9236
35,16,0.92645,-0.27038841709643746,0.9237
36,16,0.9267166666666666,-0.2701674419048598,0.9236
37,16,0.9268666666666666,-0.2699578659950311,0.9234
38,16,0.92705,-0.2697588774584373,0.9236
39,16,0.9272333333333334,-0.2695697418823828,0.9238
40,16,0.9273333333333333,-0.2693897931743345,0.9237
41,16,0.9275166666666667,-0.26921842567367377,0.9239
42,16,0.9277166666666666,-0.2690550873432598,0.9239
43,16,0.9278333333333333,-0.26889927387080037,0.9239
44,16,0.928,-0.26875052354011425,0.924
45,16,0.9281833333333334,-0.26860841275657377,0.9239
46,16,0.9282166666666667,-0.2684725521306028,0.924
47,16,0.9283666666666667,-0.2683425830390161,0.9242
48,16,0.9284833333333333,-0.2682181745969876,0.9243
49,16,0.9285666666666667,-0.2680990209841,0.9244
50,16,0.9286833333333333,-0.2679848390767171,0.9245
51,16,0.9288666666666666,-0.2678753663461943,0.9245
52,16,0.9291,-0.2677703589884843,0.9245
53,16,0.9292833333333334,-0.2676695902557418,0.9246
54,16,0.9293833333333333,-0.26757284896474587,0.9246
55,16,0.9294666666666667,-0.26747993816051185,0.9245
56,16,0.9295333333333333,-0.2673906739164536,0.9246
57,16,0.9296333333333333,-0.267304884254988,0.9248
58,16,0.9296833333333333,-0.26722240817462445,0.9247
59,16,0.9298333333333333,-0.2671430947714086,0.9247
60,16,0.9299166666666666,-0.2670668024441556,0.9248
61,16,0.9300666666666667,-0.26699339817424383,0.9247
62,16,0.93015,-0.2669227568718909,0.9247
63,16,0.9302666666666667,-0.2668547607818234,0.9249
64,16,0.9303333333333333,-0.2667892989421085,0.9249
65,16,0.9304333333333333,-0.2667262666906512,0.9252
66,16,0.9305,-0.26666556521450857,0.9254
67,16,0.93055,-0.2666071011377267,0.9254
68,16,0.9306333333333333,-0.2665507861438954,0.9255
69,16,0.9307666666666666,-0.26649653663003936,0.9255
70,16,0.9307833333333333,-0.26644427338883797,0.9255
71,16,0.9308666666666666,-0.2663939213164923,0.9252
72,16,0.9309333333333333,-0.26634540914384464,0.9254
73,16,0.9309666666666667,-0.26629866918860984,0.9255
74,16,0.9309,-0.26625363712679856,0.9256
75,16,0.9309333333333333,-0.26621025178161356,0.9258
76,16,0.9310333333333334,-0.2661684549282704,0.9258
77,16,0.9310833333333334,-0.2661281911133527,0.9258
78,16,0.9311,-0.26608940748744603,0.9257
79,16,0.9311666666666667,-0.2660520536499217,0.9256
80,16,0.9312166666666667,-0.26601608150484524,0.9256
81,16,0.9312666666666667,-0.2659814451270863,0.9257
82,16,0.9313166666666667,-0.26594810063779173,0.9256
83,16,0.9314166666666667,-0.26591600608846144,0.9255
84,16,0.9314833333333333,-0.265885121352938,0.9255
85,16,0.9314833333333333,-0.265855408026681,0.9255
86,16,0.9315333333333333,-0.2658268293327569,0.9256
87,16,0.9315833333333333,-0.2657993500340225,0.9258
88,16,0.9316,-0.26577293635102883,0.9259
89,16,0.9316833333333333,-0.2657475558852108,0.9258
90,16,0.93175,-0.2657231775469679,0.9258
91,16,0.93185,-0.2656997714882716,0.9258
92,16,0.9318666666666666,-0.26567730903947,0.9259
93,16,0.93195,-0.2656557626499825,0.9259
94,16,0.9319333333333333,-0.2656351058326075,0.926
95,16,0.932,-0.26561531311118597,0.9261
96,16,0.9320333333333334,-0.2655963599713841,0.9262
97,16,0.9320166666666667,-0.26557822281437904,0.9263
98,16,0.9320333333333334,-0.26556087891324826,0.9264
99,16,0.9320833333333334,-0.26554430637187654,0.9262
100,16,0.9321666666666667,-0.2655284840862128,0.9261
